timestamps,total_load_kw,critical_load_kw,load_shed_kw,battery_soc_percent,battery_power_kw,pv_generation_kw,generator_power_kw,grid_power_kw,is_islanded
2026-01-27 00:00:00,542.0654944114592,320,0,90,0,0.0,0,542.0654944114592,False
2026-01-27 00:15:00,535.2323467980202,320,0,90,0,0.0,0,535.2323467980202,False
2026-01-27 00:30:00,562.9798061161234,320,0,90,0,0.0,0,562.9798061161234,False
2026-01-27 00:45:00,564.6075215653024,320,0,90,0,0.0,0,564.6075215653024,False
2026-01-27 01:00:00,560.0259040399277,320,0,90,0,0.0,0,560.0259040399277,False
2026-01-27 01:15:00,553.9533202743249,320,0,90,0,0.0,0,553.9533202743249,False
2026-01-27 01:30:00,559.0474502844678,320,0,90,0,0.0,0,559.0474502844678,False
2026-01-27 01:45:00,554.939400651825,320,0,90,0,0.0,0,554.939400651825,False
2026-01-27 02:00:00,541.5976620591142,320,0,90,0,0.0,0,541.5976620591142,False
2026-01-27 02:15:00,548.6793859845665,320,0,90,0,0.0,0,548.6793859845665,False
2026-01-27 02:30:00,535.9545609733657,320,0,90,0,0.0,0,535.9545609733657,False
2026-01-27 02:45:00,537.7160715903877,320,0,90,0,0.0,0,537.7160715903877,False
2026-01-27 03:00:00,566.2685358129507,320,0,90,0,0.0,0,566.2685358129507,False
2026-01-27 03:15:00,549.2149681963621,320,0,90,0,0.0,0,549.2149681963621,False
2026-01-27 03:30:00,548.4690903065622,320,0,90,0,0.0,0,548.4690903065622,False
2026-01-27 03:45:00,559.079607682206,320,0,90,0,0.0,0,559.079607682206,False
2026-01-27 04:00:00,540.0538772803303,320,0,90,0,0.0,0,540.0538772803303,False
2026-01-27 04:15:00,565.2778836865433,320,0,90,0,0.0,0,565.2778836865433,False
2026-01-27 04:30:00,542.6995516272877,320,0,90,0,0.0,0,542.6995516272877,False
2026-01-27 04:45:00,552.6211767393559,320,0,90,0,0.0,0,552.6211767393559,False
2026-01-27 05:00:00,535.0652602407874,320,0,90,0,0.0,0,535.0652602407874,False
2026-01-27 05:15:00,533.6716849138876,320,0,90,0,0.0,0,533.6716849138876,False
2026-01-27 05:30:00,562.5720544646349,320,0,90,0,0.0,0,562.5720544646349,False
2026-01-27 05:45:00,536.8050209740016,320,0,90,0,0.0,0,536.8050209740016,False
2026-01-27 06:00:00,554.5834069396083,320,0,90,0,0.0,0,554.5834069396083,False
