Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,208957,-,b'Madhya Pradesh',b'India',22.2,78.47,5,761,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Wind Speed,Pressure,Relative Humidity,Cloud Type
2020,1,1,0,0,0,0,0,12,1.2000000000000002,931,82.8,0
2020,1,1,1,0,0,0,0,11.4,1.2000000000000002,931,84.71000000000001,0
2020,1,1,2,0,0,0,0,10.9,1.2000000000000002,931,86.05,0
2020,1,1,3,0,0,0,0,10.4,1.2000000000000002,931,87.44,0
2020,1,1,4,0,0,0,0,10.100000000000001,1.2000000000000002,932,87.92,0
2020,1,1,5,0,0,0,0,10.4,2.8000000000000003,932,100,8
2020,1,1,6,0,0,0,0,10.600000000000001,2.9000000000000004,933,100,3
2020,1,1,7,0,31,37,40,11.4,3.4000000000000004,934,100,0
2020,1,1,8,0,168,170,223,12.600000000000001,3.6,935,97.53,0
2020,1,1,9,0,295,267,409,14.4,3.8000000000000003,935,90.61,1
2020,1,1,10,0,403,313,559,16.5,3.8000000000000003,935,81.98,0
2020,1,1,11,0,463,333,650,18.3,3.8000000000000003,934,75.65,1
2020,1,1,12,0,503,325,678,19.400000000000002,3.7,933,72.93,0
2020,1,1,13,0,518,292,636,19.900000000000002,3.5,932,72.3,1
2020,1,1,14,0,0,50,50,20,3.1,931,72.8,4
2020,1,1,15,0,12,154,159,19.3,2.6,931,76.98,3
2020,1,1,16,0,0,40,40,17.7,1.2000000000000002,932,90.21000000000001,3
2020,1,1,17,0,0,5,5,15.8,0.8,932,98.02,3
2020,1,1,18,0,0,0,0,15.200000000000001,1,934,100,0
2020,1,1,19,0,0,0,0,14.9,1.2000000000000002,934,100,0
2020,1,1,20,0,0,0,0,14.600000000000001,1.5,935,100,4
2020,1,1,21,0,0,0,0,14.4,1.9000000000000001,935,100,3
2020,1,1,22,0,0,0,0,14.200000000000001,2.1,935,100,8
2020,1,1,23,0,0,0,0,13.9,2.1,934,100,4
2020,1,2,0,0,0,0,0,13.700000000000001,2,934,100,8
2020,1,2,1,0,0,0,0,13.4,2.1,933,100,4
2020,1,2,2,0,0,0,0,13.200000000000001,2.2,933,100,3
