config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,3.0,288,1,4.5,34.31,0.0,738.99,2463.3,544.32,0.0,5,0.0,0.0,0.0,34.31,0.3125,0.25,1.25,34.31,0.017361,0.99565972,1.25,0,0,0,0
MPC-Optimized,True,42,3.0,288,1,4.5,443.33,176.13,514.52,1715.06,1022.95,268.43,18,176.13,42.0,91.25,133.95,2.625,5.5,0.4773,443.33,0.0625,0.96354167,0.4964,1.807,6.669,3.131,0
Rule-Based,False,43,3.0,288,1,2.2,38.42,0.0,385.48,1284.93,817.41,0.0,2,0.0,0.0,0.0,38.42,0.125,0.25,0.5,38.42,0.006944,0.99826389,0.5,0,0,0,1
MPC-Optimized,True,43,3.0,288,1,2.2,328.04,88.55,193.13,643.77,1657.85,267.22,9,88.55,32.1,71.02,136.37,1.4375,3.0,0.4792,328.04,0.03125,0.98003472,0.5469,1.817,4.828,2.786,1
Rule-Based,False,44,3.0,288,1,4.8,0.0,0.0,888.26,2960.86,1067.16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,2
MPC-Optimized,True,44,3.0,288,1,4.8,654.55,268.56,639.76,2132.52,1917.48,258.15,18,268.56,88.16,247.64,50.19,3.3125,4.5,0.7361,654.55,0.0625,0.95399306,0.8083,1.996,4.866,3.737,2
Rule-Based,False,45,3.0,288,1,1.5,0.0,0.0,255.95,853.16,636.74,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,3
MPC-Optimized,True,45,3.0,288,1,1.5,254.66,88.27,66.26,220.87,1470.06,269.48,6,88.27,24.44,70.13,71.82,1.0,2.25,0.4444,254.66,0.020833,0.98611111,0.4688,1.728,4.549,3.245,3
Rule-Based,False,46,3.0,288,1,3.5,0.0,0.0,547.45,1824.82,525.95,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,4
MPC-Optimized,True,46,3.0,288,1,3.5,270.64,119.54,300.21,1000.71,1794.91,260.67,14,119.54,28.87,64.65,57.58,2.0,5.25,0.381,270.64,0.048611,0.97222222,0.3875,1.748,4.863,2.9,4
