uncertainty_level,config,mean_ens_kwh,mean_fuel_cost_usd,SAIDI,ASAI
0.05,Rule-Based,206.97333333333333,808.3866666666667,0.5833333333333334,0.9951388900000001
0.05,MPC-Optimized,725.4933333333333,605.2466666666666,2.1041666666666665,0.9824652766666667
0.05,MPC+DR-Optimized,648.1266666666667,539.6133333333333,2.0625,0.9828125
0.1,Rule-Based,206.97333333333333,808.3866666666667,0.5833333333333334,0.9951388900000001
0.1,MPC-Optimized,725.1333333333333,604.3066666666667,2.125,0.9822916666666667
0.1,MPC+DR-Optimized,653.82,538.1466666666666,2.0208333333333335,0.9831597200000001
0.2,Rule-Based,206.97333333333333,808.3866666666667,0.5833333333333334,0.9951388900000001
0.2,MPC-Optimized,709.1833333333333,612.0866666666667,1.9583333333333333,0.9836805533333334
0.2,MPC+DR-Optimized,668.5799999999999,539.1233333333333,2.1458333333333335,0.9821180533333332
0.3,Rule-Based,206.97333333333333,808.3866666666667,0.5833333333333334,0.9951388900000001
0.3,MPC-Optimized,721.8633333333332,617.86,2.0833333333333335,0.98263889
0.3,MPC+DR-Optimized,678.9533333333334,540.8233333333334,2.0208333333333335,0.9831597200000001
0.4,Rule-Based,206.97333333333333,808.3866666666667,0.5833333333333334,0.9951388900000001
0.4,MPC-Optimized,704.0333333333334,610.6833333333333,1.9583333333333333,0.9836805566666667
0.4,MPC+DR-Optimized,671.79,539.0833333333334,1.9583333333333333,0.9836805566666667
